date,symbol,open,high,low,close,volume,return,volatility,ma_5
2023-02-03,AAPL,365.05,368.31,355.39,356.95,2713275,1.0550981633945535,0.6242151483204507,220.42799999999997
2023-02-13,AAPL,296.85,299.14,287.11,292.01,1949396,-0.18193024233085864,0.5427236344296453,242.32
2023-02-15,AAPL,305.6,307.51,303.62,307.36,3192195,0.05256669292147542,0.542468409185911,257.0
2023-02-17,AAPL,471.1,481.87,469.12,481.0,1929553,0.5649401353461738,0.4907986110652873,322.202
2023-02-19,AAPL,194.75,201.73,190.64,200.36,4121080,-0.5834511434511434,0.6411036702016241,327.53599999999994
2023-03-10,AAPL,221.91,224.58,212.78,215.21,4522880,0.07411659013775207,0.4182821072500017,299.188
2023-03-20,AAPL,387.38,390.47,383.19,388.08,164323,0.803261930207704,0.535470910953833,318.40199999999993
2023-04-03,AAPL,291.74,294.77,287.32,288.02,4987349,-0.257833436404865,0.5710790837614523,314.534
2023-04-10,AAPL,162.02,175.85,157.71,171.65,1179600,-0.40403444205263517,0.5463021377873494,252.664
2023-04-10,AAPL,285.87,289.11,281.12,288.86,1741249,0.6828429944654821,0.5443600859377176,270.36400000000003
2023-04-10,AAPL,413.46,416.57,407.08,411.39,1396516,0.4241847261649241,0.5498744157681692,309.6
2023-04-16,AAPL,361.88,362.86,357.08,359.48,1457133,-0.12618196844843088,0.4667712664334875,303.88
2023-04-26,AAPL,316.65,320.61,315.96,319.32,4162442,-0.11171692444642267,0.44569918953749416,310.14
2023-05-03,AAPL,349.32,349.64,344.38,345.94,4242807,0.08336464988099723,0.3535925258121465,344.998
2023-05-11,AAPL,143.79,144.41,136.84,141.62,4885956,-0.5906226513268197,0.368617483593194,315.55
2023-05-16,AAPL,112.15,124.22,108.77,120.77,3670834,-0.147224968224827,0.24829088536483657,257.42600000000004
2023-05-22,AAPL,174.05,179.26,170.39,174.89,2592118,0.4481245342386353,0.37766448564198707,220.50799999999998
2023-05-22,AAPL,249.4,250.5,249.39,249.93,3662613,0.42906970095488606,0.4337211999905163,206.63000000000002
2023-06-01,AAPL,450.88,454.96,446.53,448.73,4629788,0.7954227183611411,0.5507643037905986,227.18800000000002
2023-06-02,AAPL,132.09,134.64,127.18,132.58,3152766,-0.7045439351057429,0.5918008006924467,225.38000000000002
2023-06-14,AAPL,448.3,456.78,444.61,453.95,619777,2.4239704329461453,1.1278781814107979,292.01599999999996
2023-06-16,AAPL,375.4,379.98,364.35,366.56,1811741,-0.19251018834673417,1.194971035159138,330.35
2023-06-19,AAPL,352.73,355.9,345.22,347.92,2455874,-0.05085115670013096,1.226012510149357,349.94800000000004
2023-06-23,AAPL,364.08,368.85,355.99,359.68,641252,0.03380087376408358,1.2203344054482648,332.13800000000003
2023-07-04,AAPL,224.57,235.03,224.48,234.16,1269748,-0.34897686832740216,1.1556640840988766,352.454
2023-07-09,AAPL,172.23,178.17,172.06,173.59,764180,-0.25866928595831906,0.15485302077569263,296.382
2023-07-13,AAPL,106.33,110.42,100.13,103.15,1224905,-0.4057837433031857,0.19020091953572565,243.7
2023-08-01,AAPL,372.42,374.42,364.78,367.17,3793976,2.5595734367426077,1.26556992181571,247.55
2023-08-19,AAPL,192.89,202.8,190.17,200.88,1053959,-0.4528964784704633,1.3106151868116875,215.78999999999996
2023-08-21,AAPL,351.02,357.22,350.8,352.71,2585195,0.7558243727598566,1.2838505422352753,239.5
2023-09-03,AAPL,137.24,149.69,134.08,145.19,4992680,-0.5883587082872614,1.336083391504449,233.82
2023-09-07,AAPL,384.54,393.37,379.91,390.34,3048089,1.6884771678490251,1.3587173984820196,291.258
2023-09-07,AAPL,362.29,365.7,358.29,360.0,4089618,-0.07772710969923646,0.9523988269669398,289.82399999999996
2023-09-15,AAPL,320.69,321.67,313.24,315.77,2646741,-0.1228611111111112,0.9002066674739304,312.802
2023-09-17,AAPL,385.97,389.58,383.25,387.22,4578011,0.22627228679101896,0.8683274662586498,319.704
2023-09-18,AAPL,480.62,485.1,470.13,473.1,1305663,0.22178606476938167,0.7454698720032271,385.28599999999994
2023-10-04,AAPL,400.2,410.32,399.27,406.19,4973594,-0.14142887338829002,0.18659966444000367,388.456
2023-10-08,AAPL,141.12,142.63,138.71,142.54,1446208,-0.6490804795785223,0.35829023908894164,344.964
2023-10-11,AAPL,424.48,434.02,420.38,430.89,4799303,2.0229409288620737,1.0086099994426305,367.988
2023-10-16,AAPL,461.35,467.74,461.09,464.28,1664718,0.07749077490774914,1.0148356198810906,383.4
2023-10-25,AAPL,251.91,261.78,249.52,259.18,1179924,-0.44175928319117774,1.0705153267178693,340.616
2023-11-04,AAPL,394.5,398.63,390.66,395.1,1150493,0.5244231808009878,1.0629123610269042,338.398
2023-11-10,AAPL,257.88,269.41,257.52,264.76,1205534,-0.32989116679321695,0.998801857898027,362.842
2023-11-13,AAPL,207.96,209.57,203.76,208.76,3126768,-0.21151231303822327,0.3875149245261827,318.41600000000005
2023-11-22,AAPL,299.35,303.92,295.91,297.73,2291422,0.4261831768538036,0.44865261998262246,285.10600000000005
2023-12-04,AAPL,123.17,127.43,109.71,114.66,1263950,-0.6148859705101939,0.4949346075736712,256.202
2023-12-15,AAPL,486.25,493.94,485.76,492.42,2845683,3.294610151753009,1.6009686537503622,275.666
2023-02-02,AMZN,198.75,206.24,198.01,202.68,913168,0.27986865370042935,0.3388876470282601,263.268
2023-02-04,AMZN,336.97,340.0,327.04,327.89,2670406,0.6177718571146633,0.437002877667476,232.704
2023-02-08,AMZN,148.82,148.99,144.17,148.72,4255299,-0.5464332550550489,0.47170954484951544,205.734
2023-02-14,AMZN,459.42,461.6,458.91,461.55,4427576,2.1034830554061323,1.0209508386742503,259.84000000000003
2023-02-25,AMZN,267.03,279.34,264.7,274.61,658924,-0.4050265410031416,1.0614872799698245,283.09
2023-02-26,AMZN,224.68,227.82,223.76,225.09,3684702,-0.18032846582425988,1.0950064317001613,287.572
2023-02-26,AMZN,172.75,177.24,167.3,169.67,2050367,-0.24621262606068695,1.103987194591112,255.92799999999997
2023-03-01,AMZN,355.02,365.13,354.43,362.77,1621101,1.1380915895561974,1.097206929285113,298.738
2023-03-17,AMZN,425.16,440.14,422.38,435.15,263273,0.1995203572511508,0.6206911835569637,293.45799999999997
2023-03-23,AMZN,209.58,211.47,203.68,203.88,4680081,-0.5314719062392279,0.6484294808897293,279.312
2023-03-24,AMZN,440.57,445.22,434.16,434.74,4581617,1.1323327447518148,0.7725885772912044,321.242
2023-04-06,AMZN,353.28,354.44,346.75,347.85,3746259,-0.19986658692551862,0.76405121246633,356.878
2023-04-18,AMZN,131.99,138.13,129.01,137.52,3975358,-0.6046571798188874,0.7088726490726817,311.828
2023-05-05,AMZN,241.96,254.48,239.55,251.1,3699865,0.825916230366492,0.8023239019893742,275.01800000000003
2023-05-07,AMZN,163.44,175.42,163.3,171.06,4972554,-0.3187574671445639,0.7635515894779893,268.454
2023-05-12,AMZN,120.59,125.13,114.97,116.16,1661729,-0.3209400210452473,0.5513263952837708,204.738
2023-06-05,AMZN,369.37,379.24,366.01,378.77,1778687,2.2607610192837466,1.1921164615931914,210.92200000000003
2023-06-09,AMZN,134.26,143.11,132.65,142.15,503322,-0.6247062861367056,1.1962345762882025,211.848
2023-06-11,AMZN,249.77,250.16,240.63,241.15,2659272,0.6964474147027788,1.1850979525458434,209.858
2023-06-14,AMZN,422.48,428.37,421.43,427.45,1017559,0.7725482065104705,1.1331280257074368,261.136
2023-06-14,AMZN,159.6,161.36,157.21,160.13,2617334,-0.6253830857410223,1.1983866356897244,269.93
2023-06-18,AMZN,397.71,407.32,397.49,405.15,3003633,1.53013176793855,0.9477220202647978,275.206
2023-06-19,AMZN,454.65,457.54,443.01,445.2,749150,0.09885227693446885,0.8064276109550339,335.816
2023-06-19,AMZN,487.79,499.18,486.5,495.1,4247703,0.11208445642407905,0.8121710746965142,386.606
2023-07-11,AMZN,448.39,456.68,446.69,452.67,1697690,-0.08569985861442131,0.7984222481678442,391.65
2023-07-19,AMZN,314.03,315.53,306.17,307.72,3680893,-0.3202111913756157,0.7274937309307785,421.168
2023-07-19,AMZN,239.03,246.3,234.39,242.33,1247116,-0.21249837514623682,0.1898441014402418,388.604
2023-07-25,AMZN,475.8,486.69,471.19,483.7,2685031,0.9960384599513059,0.5271923061517136,396.304
2023-08-06,AMZN,317.09,318.82,311.22,312.13,1162729,-0.35470332850940667,0.5641004298093596,359.71000000000004
2023-08-06,AMZN,276.96,286.95,276.61,283.6,4177716,-0.09140422259955783,0.5643343974237645,325.896
2023-08-08,AMZN,272.12,274.58,265.81,266.13,1904673,-0.06160084626234141,0.5385154121769337,317.578
2023-08-12,AMZN,121.07,121.26,110.45,112.84,3016623,-0.5759966933453575,0.6042126207391584,291.68
2023-09-01,AMZN,221.25,223.05,216.08,216.51,3424664,0.9187344913151363,0.5719191472508179,238.24200000000002
2023-09-04,AMZN,377.16,381.84,373.93,374.12,3306420,0.7279571382384187,0.6223916188848451,250.64000000000001
2023-09-07,AMZN,494.65,503.98,489.89,503.95,2024401,0.3470276916497379,0.6046024472985368,294.71
2023-09-18,AMZN,476.21,478.8,469.97,474.16,3712600,-0.0591130072427819,0.6042609944263655,336.31600000000003
2023-09-19,AMZN,430.58,435.06,425.04,426.98,4704299,-0.09950227771216469,0.4566991804077107,399.144
2023-09-23,AMZN,244.39,248.98,235.54,236.22,4474857,-0.44676565647102906,0.45255907188162775,403.086
2023-10-08,AMZN,191.23,194.29,183.42,185.47,175388,-0.21484209635085938,0.2893083047175181,365.356
2023-10-11,AMZN,125.99,130.18,122.87,124.03,2524050,-0.3312665121043834,0.16101521232968505,289.372
2023-10-17,AMZN,337.19,341.78,325.28,329.23,990695,1.654438442312344,0.8716907030400783,260.386
2023-10-22,AMZN,299.24,301.26,288.09,290.58,4867348,-0.11739513410078073,0.8728141794771752,233.106
